year,exp,type,cnt,thr_red_avg,thr_avg
2040,ssp585,Narrowbody,1204383,21.6034,0.783966
2040,ssp585,Widebody,968143,11.3298,0.886702
2040,ssp585,Narrowbody,1023235,5.93342,0.9406658
2040,ssp585,Widebody,816541,8.46951,0.9153049
2041,ssp126,Narrowbody,1201385,21.5933,0.784067
2041,ssp126,Widebody,964965,11.317,0.88683
2041,ssp126,Narrowbody,1020417,5.91805,0.9408195
2041,ssp126,Widebody,812053,8.46921,0.9153079
2041,ssp245,Narrowbody,1202413,21.5984,0.784016
2041,ssp245,Widebody,966750,11.3642,0.886358
2041,ssp245,Narrowbody,1021738,5.9617,0.940383
2041,ssp245,Widebody,815770,8.51312,0.9148688
2041,ssp370,Narrowbody,1202314,21.6008,0.783992
2041,ssp370,Widebody,967086,11.3312,0.886688
2041,ssp370,Narrowbody,1021378,5.9413,0.940587
2041,ssp370,Widebody,815963,8.47577,0.9152423
2041,ssp585,Narrowbody,1201225,21.5839,0.784161
2041,ssp585,Widebody,964791,11.2766,0.887234
2041,ssp585,Narrowbody,1020429,5.87938,0.9412062
2041,ssp585,Widebody,810727,8.43811,0.9156189
2042,ssp126,Narrowbody,1201387,21.6048,0.783952
2042,ssp126,Widebody,966625,11.3535,0.886465
2042,ssp126,Narrowbody,1020836,5.9596,0.940404
2042,ssp126,Widebody,814837,8.50894,0.9149106
2042,ssp245,Narrowbody,1201451,21.5994,0.784006
2042,ssp245,Widebody,966143,11.3583,0.886417
2042,ssp245,Narrowbody,1021525,5.96,0.9404
2042,ssp245,Widebody,815357,8.50461,0.9149539
2042,ssp370,Narrowbody,1201616,21.5812,0.784188
2042,ssp370,Widebody,965100,11.2925,0.887075
2042,ssp370,Narrowbody,1020464,5.90084,0.9409916
2042,ssp370,Widebody,812263,8.4509,0.915491
2042,ssp585,Narrowbody,1201555,21.5757,0.784243
2042,ssp585,Widebody,963855,11.2829,0.887171
2042,ssp585,Narrowbody,1019466,5.8861,0.941139
2042,ssp585,Widebody,812148,8.42032,0.9157968
2043,ssp126,Narrowbody,1201552,21.6073,0.783927
2043,ssp126,Widebody,966538,11.3255,0.886745
2043,ssp126,Narrowbody,1021451,5.93248,0.9406752
2043,ssp126,Widebody,814844,8.47522,0.9152478
2043,ssp245,Narrowbody,1201468,21.602,0.78398
2043,ssp245,Widebody,966297,11.3795,0.886205
2043,ssp245,Narrowbody,1021456,5.97482,0.9402518
2043,ssp245,Widebody,814971,8.52964,0.9147036
2043,ssp370,Narrowbody,1201430,21.5895,0.784105
2043,ssp370,Widebody,964431,11.3145,0.886855
2043,ssp370,Narrowbody,1020085,5.91056,0.9408944
2043,ssp370,Widebody,814361,8.43792,0.9156208
2043,ssp585,Narrowbody,1201290,21.5869,0.784131
2043,ssp585,Widebody,963982,11.3187,0.886813
2043,ssp585,Narrowbody,1019864,5.90579,0.9409421
2043,ssp585,Widebody,814357,8.43751,0.9156249
2044,ssp126,Narrowbody,1204991,21.5935,0.784065
2044,ssp126,Widebody,968994,11.3341,0.886659
2044,ssp126,Narrowbody,1023762,5.94292,0.9405708
2044,ssp126,Widebody,816325,8.49129,0.9150871
2044,ssp245,Narrowbody,1205126,21.5952,0.784048
2044,ssp245,Widebody,968752,11.347,0.88653
2044,ssp245,Narrowbody,1023031,5.9548,0.940452
2044,ssp245,Widebody,816982,8.48946,0.9151054
2044,ssp370,Narrowbody,1204554,21.5957,0.784043
2044,ssp370,Widebody,968060,11.3245,0.886755
2044,ssp370,Narrowbody,1023412,5.92776,0.9407224
2044,ssp370,Widebody,817018,8.46422,0.9153578
2044,ssp585,Narrowbody,1204361,21.5893,0.784107
2044,ssp585,Widebody,966508,11.2979,0.887021
2044,ssp585,Narrowbody,1023161,5.8946,0.941054
2044,ssp585,Widebody,814080,8.44478,0.9155522
2045,ssp126,Narrowbody,1201312,21.5942,0.784058
2045,ssp126,Widebody,965027,11.3177,0.886823
2045,ssp126,Narrowbody,1021241,5.91486,0.9408514
2045,ssp126,Widebody,813329,8.46592,0.9153408
2045,ssp245,Narrowbody,1201979,21.5978,0.784022
2045,ssp245,Widebody,966721,11.3391,0.886609
2045,ssp245,Narrowbody,1021367,5.93879,0.9406121
2045,ssp245,Widebody,815262,8.47861,0.9152139
2045,ssp370,Narrowbody,1201801,21.6066,0.783934
2045,ssp370,Widebody,966830,11.3601,0.886399
2045,ssp370,Narrowbody,1021676,5.9593,0.940407
2045,ssp370,Widebody,815236,8.50701,0.9149299
2045,ssp585,Narrowbody,1200876,21.5962,0.784038
2045,ssp585,Widebody,964590,11.3381,0.886619
2045,ssp585,Narrowbody,1020552,5.92051,0.9407949
2045,ssp585,Widebody,813847,8.47073,0.9152927
