"our.icao","iata.code","iata.traffic","our.name","our.lat","our.lon","lido.rwy","lido.len","lido.toda"
"UAKK","KGF",272741,"Sary-Arka Airport",49.6707992553711,73.3343963623047,"RW23",11814,12963
"RJCO","OKD",272597,"Sapporo Okadama Airport",43.117447,141.38134,"RW32",4921,4921
"RJCO","OKD",272597,"Sapporo Okadama Airport",43.117447,141.38134,"RW14",4921,4921
"KMBS","MBS",272538,"MBS International Airport",43.532901763916,-84.0795974731445,"RW05",8002,8002
"KMBS","MBS",272538,"MBS International Airport",43.532901763916,-84.0795974731445,"RW32",6399,6399
"KMBS","MBS",272538,"MBS International Airport",43.532901763916,-84.0795974731445,"RW23",8002,8002
"KMBS","MBS",272538,"MBS International Airport",43.532901763916,-84.0795974731445,"RW14",6399,6399
"ZLZY","YZY",271664,"Zhangye Ganzhou Airport",38.8018989563,100.675003052,"RW29R",9843,9843
"ZLZY","YZY",271664,"Zhangye Ganzhou Airport",38.8018989563,100.675003052,"RW11L",9843,9843
"CYTS","YTS",268338,"Timmins/Victor M. Power",48.5696983337,-81.376701355,"RW21",6000,6984
"CYTS","YTS",268338,"Timmins/Victor M. Power",48.5696983337,-81.376701355,"RW28",4907,5891
"CYTS","YTS",268338,"Timmins/Victor M. Power",48.5696983337,-81.376701355,"RW10",4907,5891
"CYTS","YTS",268338,"Timmins/Victor M. Power",48.5696983337,-81.376701355,"RW03",6000,6600
"VVVD","VDO",267776,"Van Don International Airport",21.117778,107.414167,"RW21",11811,11811
"VVVD","VDO",267776,"Van Don International Airport",21.117778,107.414167,"RW03",11811,11811
"VNNG","KEP",267481,"Nepalgunj Airport",28.1035995483398,81.6669998168945,"RW08",4938,5000
"VNNG","KEP",267481,"Nepalgunj Airport",28.1035995483398,81.6669998168945,"RW26",4938,5000
"LFMU","BZR",267333,"Béziers-Vias Airport",43.3235015869141,3.35389995574951,"RW27",6562,6726
"LFMU","BZR",267333,"Béziers-Vias Airport",43.3235015869141,3.35389995574951,"RW09",6562,6726
"LTCT","IGD",266948,"Iğdır Airport",39.9766273499,43.8766479492,"RW12",9843,9843
"LTCT","IGD",266948,"Iğdır Airport",39.9766273499,43.8766479492,"RW30",9843,9843
"ENKB","KSU",266795,"Kristiansund Airport (Kvernberget)",63.111801147461,7.824520111084,"RW25",7851,7779
"ENKB","KSU",266795,"Kristiansund Airport (Kvernberget)",63.111801147461,7.824520111084,"RW07",7851,7818
"WABI","NBX",266648,"Nabire Airport",-3.36818,135.496002,"RW34",4590,4787
"WABI","NBX",266648,"Nabire Airport",-3.36818,135.496002,"RW16",4590,4721
"ESNQ","KRN",266213,"Kiruna Airport",67.821998596191,20.336799621582,"RW21",8209,8209
"ESNQ","KRN",266213,"Kiruna Airport",67.821998596191,20.336799621582,"RW03",8209,8701
"LTCN","KCM",265703,"Kahramanmaraş Airport",37.5388259888,36.9535217285,"RW07",7546,7546
"LTCN","KCM",265703,"Kahramanmaraş Airport",37.5388259888,36.9535217285,"RW25",7546,7546
"KBFL","BFL",264290,"Meadows Field",35.433601,-119.056999,"RW12R",7700,7703
"KBFL","BFL",264290,"Meadows Field",35.433601,-119.056999,"RW12L",10849,10855
"KBFL","BFL",264290,"Meadows Field",35.433601,-119.056999,"RW30R",10849,10855
"KBFL","BFL",264290,"Meadows Field",35.433601,-119.056999,"RW30L",7700,7703
"SPJE","JAE",264147,"Shumba Airport",-5.59248,-78.774002,"RW16",7874,7874
"SPJE","JAE",264147,"Shumba Airport",-5.59248,-78.774002,"RW34",7874,7874
"MYAM","MHH",263797,"Leonard M Thompson International Airport",26.5114,-77.083503,"RW09",6100,6100
"MYAM","MHH",263797,"Leonard M Thompson International Airport",26.5114,-77.083503,"RW27",6100,6100
"HTMW","MWZ",263108,"Mwanza Airport",-2.4444899559021,32.9327011108398,"RW12",12178,13491
"HTMW","MWZ",263108,"Mwanza Airport",-2.4444899559021,32.9327011108398,"RW30",12178,12178
"LGHI","JKH",262693,"Chios Island National Airport",38.3432006835938,26.1406002044678,"RW19",4957,4957
"LGHI","JKH",262693,"Chios Island National Airport",38.3432006835938,26.1406002044678,"RW01",4957,4957
"LIRZ","PEG",262649,"Perugia San Francesco d'Assisi – Umbria International Airport",43.095901,12.5132,"RW19",7215,7740
"LIRZ","PEG",262649,"Perugia San Francesco d'Assisi – Umbria International Airport",43.095901,12.5132,"RW01",7215,7411
"ZPWS","WNH",262593,"Wenshan Puzhehei Airport",23.5583,104.3255,"RW02",7874,7874
"ZPWS","WNH",262593,"Wenshan Puzhehei Airport",23.5583,104.3255,"RW20",7874,7874
"ESDF","RNB",262511,"Ronneby Airport",56.266701,15.265,"RW01",7648,9616
"ESDF","RNB",262511,"Ronneby Airport",56.266701,15.265,"RW19",7648,9616
"YMIA","MQL",262249,"Mildura Airport",-34.2291984558,142.085998535,"RW27",6004,6201
"YMIA","MQL",262249,"Mildura Airport",-34.2291984558,142.085998535,"RW18",3737,3934
"YMIA","MQL",262249,"Mildura Airport",-34.2291984558,142.085998535,"RW36",3737,3934
"YMIA","MQL",262249,"Mildura Airport",-34.2291984558,142.085998535,"RW09",6004,6299
"PASI","SIT",261974,"Sitka Rocky Gutierrez Airport",57.0471000671387,-135.361999511719,"RW29",7200,7200
"PASI","SIT",261974,"Sitka Rocky Gutierrez Airport",57.0471000671387,-135.361999511719,"RW11",7200,7200
"KPBG","PBG",261876,"Plattsburgh International Airport",44.6509017944336,-73.4681015014648,"RW17",11759,11759
"KPBG","PBG",261876,"Plattsburgh International Airport",44.6509017944336,-73.4681015014648,"RW35",11759,11759
"RKJK","KUV",261661,"Kunsan Air Base",35.9038009643555,126.615997314453,"RW36",9008,8990
"RKJK","KUV",261661,"Kunsan Air Base",35.9038009643555,126.615997314453,"RW18",9008,8990
"GCHI","VDE",261381,"Hierro Airport",27.8148002624512,-17.8871002197266,"RW16",4101,4101
"GCHI","VDE",261381,"Hierro Airport",27.8148002624512,-17.8871002197266,"RW34",4101,4101
"FMCH","HAH",260771,"Prince Said Ibrahim International Airport",-11.5337,43.2719,"RW02",9514,9514
