year,exp,type,zone,todr_avg,todr_avg_loess
2062,ssp126,Narrowbody,Temperate,2938.46,2936.34460773548
2062,ssp126,Widebody,Temperate,3382.335,3381.06571696299
2062,ssp245,Narrowbody,Temperate,2937.635,2937.87664177493
2062,ssp245,Widebody,Temperate,3381.53,3382.14574712498
2062,ssp370,Narrowbody,Temperate,2940.62,2940.91443025759
2062,ssp370,Widebody,Temperate,3384.285,3384.53933338801
2062,ssp585,Narrowbody,Temperate,2936.895,2941.97168937161
2062,ssp585,Widebody,Temperate,3381.975,3385.20462889085
2063,ssp126,Narrowbody,Temperate,2934.49,2936.26061677872
2063,ssp126,Widebody,Temperate,3380.93,3380.97046842589
2063,ssp245,Narrowbody,Temperate,2938.08,2938.01250643184
2063,ssp245,Widebody,Temperate,3383.065,3382.21592772422
2063,ssp370,Narrowbody,Temperate,2937.19,2941.17967690367
2063,ssp370,Widebody,Temperate,3381.65,3384.72752573399
2063,ssp585,Narrowbody,Temperate,2942.745,2942.16373157798
2063,ssp585,Widebody,Temperate,3385.6,3385.33041215576
2064,ssp126,Narrowbody,Temperate,2937.15,2936.17765631909
2064,ssp126,Widebody,Temperate,3381.38,3380.87697556197
2064,ssp245,Narrowbody,Temperate,2939.24,2938.14683703352
2064,ssp245,Widebody,Temperate,3383.21,3382.28607947237
2064,ssp370,Narrowbody,Temperate,2935.795,2941.44499891719
2064,ssp370,Widebody,Temperate,3381.195,3384.91622447593
2064,ssp585,Narrowbody,Temperate,2942.745,2942.3594846548
2064,ssp585,Widebody,Temperate,3385.47,3385.46011106875
2065,ssp126,Narrowbody,Temperate,2935.675,2936.10138490189
2065,ssp126,Widebody,Temperate,3379.105,3380.79056909393
2065,ssp245,Narrowbody,Temperate,2940.675,2938.27892127474
2065,ssp245,Widebody,Temperate,3382.755,3382.35684455876
2065,ssp370,Narrowbody,Temperate,2945.175,2941.70750338029
2065,ssp370,Widebody,Temperate,3387.1,3385.10373319243
2065,ssp585,Narrowbody,Temperate,2944.11,2942.56221180771
2065,ssp585,Widebody,Temperate,3385.785,3385.59683239402
2066,ssp126,Narrowbody,Temperate,2941.115,2936.03746107246
2066,ssp126,Widebody,Temperate,3384.09,3380.71657974449
2066,ssp245,Narrowbody,Temperate,2939.965,2938.40804685028
2066,ssp245,Widebody,Temperate,3384.075,3382.42886517274
2066,ssp370,Narrowbody,Temperate,2942.1,2941.96429737511
2066,ssp370,Widebody,Temperate,3386.71,3385.28835546211
2066,ssp585,Narrowbody,Temperate,2941.36,2942.77517624234
2066,ssp585,Widebody,Temperate,3384.96,3385.7436828958
