year,ssp,zone,type,avg_todr,avg_thr,avg_pax_rem,avg_todr_loe,avg_thr_loe,avg_pax_rem_loe
2042,ssp370,Temperate,Narrowbody,2850.03151050081,0.878434885106212,10.4403730734128,2850.98636214737,0.878515207612513,10.4190495914324
2042,ssp370,Temperate,Widebody,3153.7574137931,0.936896538337327,21.6777118502675,3150.85587055986,0.937064344515458,21.4895269640523
2042,ssp585,Temperate,Narrowbody,2850.83813408724,0.878504450636542,10.4696383469352,2850.68170196951,0.878530404540155,10.4729063842812
2042,ssp585,Temperate,Widebody,3151.38366148532,0.936888041188945,21.4140533163401,3148.89737222528,0.937067751272227,21.6291503702805
2043,ssp126,Temperate,Narrowbody,2851.17811793215,0.878731342347738,10.5299424278406,2851.67430891546,0.878581954703834,10.4328007205956
2043,ssp126,Temperate,Widebody,3152.53566724436,0.937036707009186,21.4158486387478,3154.71707220825,0.936957888619049,21.4751596129149
2043,ssp245,Temperate,Narrowbody,2847.7606542811,0.878146455043216,10.3640503578074,2850.24386649014,0.878368763906512,10.3985040747405
2043,ssp245,Temperate,Widebody,3147.51168965517,0.936367485998707,21.2888990213734,3149.00794767357,0.9369186371829,21.5272536593176
2043,ssp370,Temperate,Narrowbody,2850.60731017771,0.878544692420241,10.4290201243663,2851.1462161979,0.878543637837268,10.4256780237193
2043,ssp370,Temperate,Widebody,3150.35889273356,0.937147399113235,21.3896106467307,3150.91303495224,0.937105779055253,21.4995481046904
2043,ssp585,Temperate,Narrowbody,2850.90129240711,0.878586918981487,10.5598104855978,2850.82172252765,0.878556750611616,10.4790697342263
2043,ssp585,Temperate,Widebody,3145.64352839931,0.937166558866351,21.7273945945358,3148.91945543767,0.937101829764644,21.6362879931933
2044,ssp126,Temperate,Narrowbody,2852.46966882068,0.878587138442164,10.4103495655061,2851.7231687587,0.878596599783461,10.4368073490908
2044,ssp126,Temperate,Widebody,3152.26410034602,0.937054413776384,21.4716357183272,3154.83242980494,0.936973962692912,21.479575886267
2044,ssp245,Temperate,Narrowbody,2850.52218901454,0.878247607494378,10.4169202456149,2850.27503488707,0.878376322759903,10.4002008465857
2044,ssp245,Temperate,Widebody,3147.01212564544,0.936867039888899,21.5474784959265,3149.00771363561,0.936931120642813,21.537212891656
2044,ssp370,Temperate,Narrowbody,2849.500726979,0.878557014426172,10.5169664740256,2851.30972142596,0.878572797813661,10.4324174656618
2044,ssp370,Temperate,Widebody,3149.50137305699,0.936909748453281,21.2659058035535,3150.97377792083,0.937148000307126,21.5098934070216
2044,ssp585,Temperate,Narrowbody,2851.30221324717,0.878584986039702,10.4807445075001,2850.96854719085,0.878584141062252,10.4853759955527
2044,ssp585,Temperate,Widebody,3147.66373275862,0.937136772740776,21.4704371512208,3148.95135748863,0.937137230797474,21.6438205740327
2045,ssp126,Temperate,Narrowbody,2851.48435379645,0.878697985184152,10.4948409397731,2851.77183169021,0.878610586641632,10.4406197335777
2045,ssp126,Temperate,Widebody,3157.668984375,0.936973761162847,21.2881435310604,3154.93585624042,0.936989849538032,21.4839953169927
2045,ssp245,Temperate,Narrowbody,2849.76172859451,0.878189855703142,10.2899135496258,2850.3108932022,0.878384484879953,10.4019729597597
2045,ssp245,Temperate,Widebody,3149.73755190312,0.936661122913322,21.3477148240166,3149.02055514605,0.936943720454349,21.5462280004067
2045,ssp370,Temperate,Narrowbody,2852.51171243942,0.878739851448457,10.3918175793456,2851.47548309604,0.878602449543164,10.4391814555938
2045,ssp370,Temperate,Widebody,3151.17057858377,0.937526652363127,21.6254142064995,3151.04038386062,0.937190575536635,21.5205777781218
2045,ssp585,Temperate,Narrowbody,2850.27806138934,0.87854725306357,10.4621324004048,2851.12294140301,0.878612636613024,10.4918042545263
2045,ssp585,Temperate,Widebody,3148.64735395189,0.937173049354725,21.6577298953174,3148.9953116217,0.937174143002008,21.6518505391987
2046,ssp126,Temperate,Narrowbody,2851.21723747981,0.878494314024152,10.3370919326686,2851.82048827601,0.878623694024943,10.4441541914839
2046,ssp126,Temperate,Widebody,3151.86084055459,0.936834643084835,21.3322881737684,3155.02510296142,0.937005379160718,21.4882845035034
2046,ssp245,Temperate,Narrowbody,2851.64026655897,0.878550917578336,10.4252259057527,2850.35349158258,0.878393500453032,10.4038534643621
2046,ssp245,Temperate,Widebody,3150.33775,0.93712860850819,21.4700289733849,3149.04998182308,0.936956660895305,21.5539270537609
2046,ssp370,Temperate,Narrowbody,2852.60343295639,0.878629795454385,10.3703713427757,2851.64210647261,0.878632355027252,10.4458835318489
2046,ssp370,Temperate,Widebody,3154.78908145581,0.937121937873222,21.3744841993466,3151.11513716659,0.937233072009341,21.5316161250665
2046,ssp585,Temperate,Narrowbody,2850.32848949919,0.878638195074637,10.5902712803372,2851.28567060798,0.878642297984893,10.4983335974129
2046,ssp585,Temperate,Widebody,3146.4778362069,0.937139588243621,21.752284917935,3149.05355108041,0.937212755009537,21.6604803150911
2047,ssp126,Temperate,Narrowbody,2850.92392568659,0.878584714759047,10.4228674752846,2851.86932908211,0.878635700679991,10.4473270402371
2047,ssp126,Temperate,Widebody,3154.16898613518,0.936820784171144,21.4057043111815,3155.0979214147,0.937020381567278,21.4923100442105
2047,ssp245,Temperate,Narrowbody,2849.50669628433,0.878319887312027,10.4616559789241,2850.40488017525,0.878403619665514,10.4058754104922
2047,ssp245,Temperate,Widebody,3147.52071428572,0.9367274301,21.6171571150316,3149.09950328486,0.936970166243477,21.5599381199103
2047,ssp370,Temperate,Narrowbody,2850.8182552504,0.87831870833975,10.3604212659462,2851.80819682015,0.878662276267398,10.452437232761
2047,ssp370,Temperate,Widebody,3147.61494827586,0.93691376967931,21.589735187178,3151.20032223374,0.937275056990801,21.5430233549317
2047,ssp585,Temperate,Narrowbody,2847.17742326333,0.878148245492648,10.3667055882495,2851.45750024967,0.87867318589882,10.5049431104781
2047,ssp585,Temperate,Widebody,3151.22162629758,0.936036226742127,21.0722187172871,3149.1283091083,0.937253255451354,21.6698123281099
2048,ssp126,Temperate,Narrowbody,2853.06713247173,0.879006197202828,10.5228304196015,2851.92376781455,0.878647742080764,10.4504556211053
2048,ssp126,Temperate,Widebody,3158.17654782609,0.937196612356869,21.2242072493233,3155.1518248986,0.937037134915945,21.4972691730271
2048,ssp245,Temperate,Narrowbody,2849.86458804523,0.878323446863329,10.3401200993779,2850.461414946,0.878414608891878,10.408026157381
2048,ssp245,Temperate,Widebody,3152.92606896552,0.936963006023534,21.7484698598811,3149.17871025668,0.936982847376373,21.564018817241
2048,ssp370,Temperate,Narrowbody,2850.55994345719,0.878559110909692,10.4920595202143,2851.98323411389,0.878694095090413,10.4594834441449
2048,ssp370,Temperate,Widebody,3152.32353195164,0.937011066528584,21.3505916536736,3151.30353847563,0.937318340658887,21.5553286270472
2048,ssp585,Temperate,Narrowbody,2851.36708400646,0.878639178270839,10.4577440203666,2851.64402270932,0.87870614049567,10.5116941129687
2048,ssp585,Temperate,Widebody,3143.50738461539,0.937698916242478,22.320973777149,3149.22697074103,0.937296404590029,21.6796866807576
2049,ssp126,Temperate,Narrowbody,2854.01999192246,0.878944786013805,10.4659444596309,2851.98706398716,0.878660791755241,10.4538341961863
2049,ssp126,Temperate,Widebody,3156.78031951641,0.937831879104318,22.1676359812896,3155.18748611382,0.937057312789328,21.5040979545279
2049,ssp245,Temperate,Narrowbody,2849.74796445881,0.878378511731576,10.3714198975823,2850.51846323362,0.878426048811559,10.4102606102315
2049,ssp245,Temperate,Widebody,3148.78459482759,0.936797526387154,21.5978036697483,3149.2904071944,0.9369935384478,21.5664077730801
2049,ssp370,Temperate,Narrowbody,2852.56171243942,0.87863069041113,10.4231165772937,2852.17499629656,0.878729309188018,10.4675389135329
2049,ssp370,Temperate,Widebody,3150.58029360967,0.937425730225993,21.4609702867012,3151.42762862432,0.93736456141871,21.5688571786511
2049,ssp585,Temperate,Narrowbody,2853.17306946689,0.878987578369951,10.6142926289343,2851.84809281802,0.878741646537448,10.5186462098744
2049,ssp585,Temperate,Widebody,3149.03385344828,0.937595420251035,21.7887622935791,3149.35218848474,0.937342481573847,21.6898674921729
2050,ssp126,Temperate,Narrowbody,2851.67865912763,0.87870764577681,10.4694359399383,2852.05617687762,0.878674385530991,10.4573444641519
