zone,exp,year,avg_tas,max_tas,avg_rho,min_rho,avg_hdw
Temperate,ssp370,2072,1.84732416845549,2.13299999999998,-0.00957352983297866,0.00199199999999999,-0.0598337364364801
Temperate,ssp370,2073,1.64148153915971,1.88499999999999,-0.00951319115725346,-0.005467,-0.0625335116594572
Temperate,ssp370,2074,1.62118495692818,4.49099999999999,-0.00859258938925533,-0.000738000000000016,-0.0393023215583996
Temperate,ssp370,2075,1.65376692071033,2.44399999999996,-0.008962133353283,-0.00478400000000001,-0.00325411946678678
Temperate,ssp370,2076,1.59474831706285,3.404,-0.00870499593468654,-0.00643800000000006,-0.0265047412620687
Temperate,ssp370,2077,1.63880554791575,2.56599999999997,-0.00695835648777554,-0.00580199999999997,-0.0606485120006424
Temperate,ssp370,2078,2.0013565356607,2.71899999999999,-0.00996111802811672,-0.004247,-0.0169095696896671
Temperate,ssp370,2079,1.84930741110378,2.60199999999998,-0.0118721431603606,-0.00424599999999997,0.0485062918765102
Temperate,ssp370,2080,1.77074078373755,2.654,-0.00942388646880454,0.000215999999999994,0.0363566109790545
Temperate,ssp370,2081,1.71497059910416,3.15299999999996,-0.00875688126074325,-0.00243800000000005,-0.0818213907382415
Temperate,ssp370,2082,1.61083231555904,3.28999999999996,-0.00841624153874521,0.001938,-0.0519542484192144
Temperate,ssp370,2083,1.86946743375887,1.86500000000001,-0.00972011460706268,-0.00336999999999998,-0.0199427523619571
Temperate,ssp370,2084,1.75378170227663,4.649,-0.00897255591622348,-0.00368199999999996,-0.120025620749098
Temperate,ssp370,2085,2.13425000811446,1.63900000000001,-0.0098218192280084,-0.00264399999999998,-0.0733011418535687
Temperate,ssp370,2086,2.07240959137062,2.94899999999996,-0.00943816275973575,-0.00421099999999997,-0.0860342018021187
Temperate,ssp370,2087,2.4974626803027,4.12,-0.0100681688899362,-0.00284400000000007,-0.0590085576149946
Temperate,ssp370,2088,2.39806846001397,3.34499999999997,-0.0129047257265056,0.00211300000000003,-0.0435437908392862
Temperate,ssp370,2089,2.1458535915624,2.39799999999997,-0.0111971121099606,0.00200999999999996,0.0340682351614205
Temperate,ssp370,2090,2.30544156342222,3.53100000000001,-0.0116881318755753,0.00110599999999994,0.032200655884103
Temperate,ssp370,2091,2.48164953791598,4.90699999999998,-0.0115224612447775,-0.00166900000000003,-0.00893218636572346
Temperate,ssp370,2092,2.63850124508258,1.96499999999998,-0.0108354801759172,-0.00307599999999997,-0.127325758780962
Temperate,ssp370,2093,2.72946878406128,3.16899999999998,-0.0135025122906487,-0.00340399999999996,-0.0824475673758576
Temperate,ssp370,2094,2.8478182015387,4.84799999999996,-0.0119888832727353,-0.00139299999999998,-0.15316224278568
Temperate,ssp370,2095,2.58957385510598,3.62199999999996,-0.0139536094915507,-0.002243,0.0332727646579443
Temperate,ssp370,2096,2.522941377417,3.649,-0.0133287815755481,-0.000680000000000014,-0.0221090475168921
Temperate,ssp370,2097,2.67064742093459,3.33599999999996,-0.0123676990321437,-0.000894000000000061,0.00286508779749273
Temperate,ssp370,2098,2.29481248744844,3.30099999999999,-0.01236563785989,-0.00272400000000006,-0.0308329592580847
Temperate,ssp370,2099,2.5860338701608,6.30399999999997,-0.011710591757701,-0.00320100000000001,-0.0174956587365216
Temperate,ssp370,2100,3.02698749579207,3.53899999999999,-0.0123191239873661,-0.000754000000000032,-0.140780255817851
Temperate,ssp585,2015,0,0,0,0,0
Temperate,ssp585,2016,0.135867956487402,1.25100000000003,-6.30497133842223e-05,-4.8000000000048e-05,-0.0567966912703479
Temperate,ssp585,2017,0.146673786904614,1.78300000000002,0.00070299851559974,0.00166199999999994,-0.114706989614425
Temperate,ssp585,2018,0.414076367273594,2.32500000000005,-0.00256945572026912,0.00347900000000001,0.0202342820361405
Temperate,ssp585,2019,0.0597395689812288,2.51300000000003,-0.000759774424387238,0.000593999999999983,0.0752451352700101
Temperate,ssp585,2020,-0.094507828271901,1.25700000000001,0.000162121814604177,-0.00272499999999998,0.0948543734621605
Temperate,ssp585,2021,-0.0951056928181515,1.43900000000002,-0.00036320185904315,-0.00103399999999998,-0.0103839756170263
Temperate,ssp585,2022,-0.141054728913502,1.18900000000002,-0.000945007403061249,-0.00470599999999999,0.00830097819965214
Temperate,ssp585,2023,0.142955105189742,4.16700000000003,0.00083708649408476,-0.00165300000000002,-0.103278591285306
Temperate,ssp585,2024,0.0634840769327525,1.77200000000005,0.000658097240934907,-0.00469399999999998,-0.00510596852259759
Temperate,ssp585,2025,0.194646545352441,1.79900000000004,-8.50525338345065e-05,-0.000959999999999961,-0.0260462886353023
Temperate,ssp585,2026,0.143601683092356,2.21800000000002,0.000237145834714569,-0.00294800000000006,-0.0166912903038243
Temperate,ssp585,2027,0.174611970330488,2.81900000000002,0.000306093922041173,0.00573800000000002,-0.00709370596380321
Temperate,ssp585,2028,0.0386508802766912,1.39500000000004,-0.000298150197255653,-0.00426199999999999,-0.0319767180591883
Temperate,ssp585,2029,0.0929696040254271,0.686000000000036,-0.000368482328445552,-0.000120000000000009,-0.0410014193461121
Temperate,ssp585,2030,0.0499384730540555,3.19200000000001,-0.0020818033552763,0.00240200000000002,0.0479040419464374
Temperate,ssp585,2031,0.188603817428941,2.53400000000005,-0.000334215036626118,-0.00918099999999999,0.0757899342967008
Temperate,ssp585,2032,0.266544208151174,1.86000000000001,0.000399859422128168,-0.00518200000000002,-0.106412270185581
Temperate,ssp585,2033,0.509217623863833,1.73200000000003,-0.00154655194763609,-0.000133999999999967,-0.0354653069140189
Temperate,ssp585,2034,0.521186326290547,0.644000000000006,-0.00214361048706779,-0.000662000000000051,-0.0711106684735485
Temperate,ssp585,2035,0.25724748085338,1.95500000000004,-0.00338498057272107,0.001753,0.0703120797155812
Temperate,ssp585,2036,0.224254562765395,2.14500000000004,-0.000939879509414432,0.000904999999999934,-0.0461370523407814
Temperate,ssp585,2037,0.488822738592603,1.685,-0.000957410973129402,0.000851999999999964,-0.135730786407311
Temperate,ssp585,2038,0.504633484785359,1.62300000000005,-0.00282377711092363,0.00322900000000004,-0.0196634290536819
Temperate,ssp585,2039,0.278291450807842,1.86900000000003,-0.000844639547418424,-0.00163800000000003,0.0965672119884413
Temperate,ssp585,2040,0.477196194257829,1.93300000000005,-0.00035808336990617,-0.000677000000000039,-0.123907837795061
Temperate,ssp585,2041,0.725428152334416,2.79700000000003,-0.00306477920616066,0.000604999999999967,-0.101960519429704
Temperate,ssp585,2042,0.809661700234642,1.30600000000004,-0.00324529296930831,0.00444199999999995,-0.118231059631929
Temperate,ssp585,2043,0.616497378581073,2.15200000000004,-0.00304465575157042,-0.00151500000000004,-0.00403311845134802
Temperate,ssp585,2044,0.597158955193947,1.19600000000003,-0.00322430996538037,-0.000991999999999993,-0.00268078332094746
Temperate,ssp585,2045,0.631137904687535,2.26900000000001,-0.0032225765776519,-0.00270999999999999,0.0155035592144088
Temperate,ssp585,2046,0.315761698541678,2.73200000000003,-5.19504867757537e-05,0.000658999999999965,0.00907589038275081
Temperate,ssp585,2047,0.909362433261265,2.983,-0.00360043391273179,0.00148300000000001,-0.0328960550678286
Temperate,ssp585,2048,0.854354403812636,3.35200000000003,-0.00358562000843743,-0.00509899999999997,-0.0471972309457227
Temperate,ssp585,2049,0.799664658230029,5.392,-0.00524589365224748,0.000896000000000008,-0.0835944865018714
Temperate,ssp585,2050,0.720295145127466,3.22700000000003,-0.0030357943483017,0.000226999999999977,-0.0139557088743691
Temperate,ssp585,2051,0.896645797786732,2.12700000000001,-0.00395699943049399,-0.00650400000000007,-0.0259142657501705
Temperate,ssp585,2052,1.33185869353156,2.88600000000002,-0.00552201503386351,-0.00149699999999997,0.0227292201534333
Temperate,ssp585,2053,1.15496617465482,3.75400000000002,-0.00504733154098469,-0.00156000000000001,-0.0329762803960092
Temperate,ssp585,2054,1.03190262129891,3.27600000000001,-0.00376559852097946,0.00379699999999994,-0.0514080841227891
