itr_avg,year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
48.5585930660377,2076,ssp370,Subtropical,Widebody,15071031,15305,138772,42834,196911,113457,
24.8724166509434,2076,ssp585,Subtropical,Narrowbody,7719602,93676,100065,56372,250113,60255,
49.0098756132076,2076,ssp585,Subtropical,Widebody,15211094,15434,138137,42225,195796,114572,
24.6383516509434,2077,ssp126,Subtropical,Narrowbody,7626063,94576,99008,56345,249929,59591,
48.3215461320755,2077,ssp126,Subtropical,Widebody,14956487,15603,138631,42650,196884,112636,
24.6556805188679,2077,ssp245,Subtropical,Narrowbody,7631426,94767,98873,56056,249696,59824,
48.3928604245283,2077,ssp245,Subtropical,Widebody,14978559,15703,138640,42536,196879,112641,
24.753069245283,2077,ssp370,Subtropical,Narrowbody,7661570,94130,99464,56251,249845,59675,
48.7444244811321,2077,ssp370,Subtropical,Widebody,15087375,15758,137725,42560,196043,113477,
24.9549072641509,2077,ssp585,Subtropical,Narrowbody,7724043,93241,99952,56337,249530,59990,
49.1369010377359,2077,ssp585,Subtropical,Widebody,15208852,14609,138332,42127,195068,114452,
24.4885583962264,2078,ssp126,Subtropical,Narrowbody,7579699,94794,99386,56321,250501,59019,
48.2015771226415,2078,ssp126,Subtropical,Widebody,14919355,16601,137728,42937,197266,112254,
24.6421040566038,2078,ssp245,Subtropical,Narrowbody,7627224,94626,99185,55951,249762,59758,
48.5257272169811,2078,ssp245,Subtropical,Widebody,15019682,16418,137663,42234,196315,113205,
24.8609196226415,2078,ssp370,Subtropical,Narrowbody,7694952,93754,99268,56662,249684,59836,
48.9407927358491,2078,ssp370,Subtropical,Widebody,15148154,15654,137286,42705,195645,113875,
24.9244379245283,2078,ssp585,Subtropical,Narrowbody,7714612,93036,100140,56527,249703,59817,
49.1217569339623,2078,ssp585,Subtropical,Widebody,15204163,14814,137973,42365,195152,114368,
24.5784353773585,2079,ssp126,Subtropical,Narrowbody,7607517,94806,98813,56308,249927,59593,
