year,exp,type,todr_avg,todr_avg_loess
2059,ssp126,Widebody,3343.605,3342.92026137043
2059,ssp245,Narrowbody,2935.58,2934.95325581276
2059,ssp245,Widebody,3343.58,3343.66287749085
2059,ssp370,Narrowbody,2938.405,2937.46531532707
2059,ssp370,Widebody,3346.615,3345.5577050815
2059,ssp585,Narrowbody,2939.775,2938.41076167081
2059,ssp585,Widebody,3347.21,3346.14715833221
2060,ssp126,Narrowbody,2935.1,2933.75402243886
2060,ssp126,Widebody,3342.97,3342.87483503561
2060,ssp245,Narrowbody,2935.59,2935.066540131
2060,ssp245,Widebody,3343.675,3343.73101920882
2060,ssp370,Narrowbody,2938.245,2937.67128500423
2060,ssp370,Widebody,3347.58,3345.70475971631
2060,ssp585,Narrowbody,2941.57,2938.62691307207
2060,ssp585,Widebody,3348.035,3346.29454493951
2061,ssp126,Narrowbody,2933.695,2933.70052493436
2061,ssp126,Widebody,3343.205,3342.82025041666
2061,ssp245,Narrowbody,2933.835,2935.17969800845
2061,ssp245,Widebody,3343.83,3343.79806311058
2061,ssp370,Narrowbody,2938.24,2937.88025512837
2061,ssp370,Widebody,3346.355,3345.85357902183
2061,ssp585,Narrowbody,2937.85,2938.8414551393
2061,ssp585,Widebody,3345.185,3346.44069570704
2062,ssp126,Narrowbody,2933.86,2933.63972040793
2062,ssp126,Widebody,3342.865,3342.75982024305
2062,ssp245,Narrowbody,2934.98,2935.2922083447
2062,ssp245,Widebody,3343.41,3343.86415111131
2062,ssp370,Narrowbody,2937.87,2938.09097392424
2062,ssp370,Widebody,3345.595,3346.00349742826
2062,ssp585,Narrowbody,2936.61,2939.05566512843
2062,ssp585,Widebody,3345.115,3346.58689624062
2063,ssp126,Narrowbody,2932.695,2933.5753534422
2063,ssp126,Widebody,3342.81,3342.69685724424
2063,ssp245,Narrowbody,2935.4,2935.40355003933
2063,ssp245,Widebody,3344.2,3343.92942512619
2063,ssp370,Narrowbody,2936.225,2938.30218961661
2063,ssp370,Widebody,3344.33,3346.15384936577
2063,ssp585,Narrowbody,2939.83,2939.27082029539
2063,ssp585,Widebody,3347.26,3346.73443214606
2064,ssp126,Narrowbody,2934.14,2933.51116861984
2064,ssp126,Widebody,3343.115,3342.6346741497
2064,ssp245,Narrowbody,2936.59,2935.51320199191
2064,ssp245,Widebody,3344.605,3343.9940270704
2064,ssp370,Narrowbody,2935.525,2938.51265043024
2064,ssp370,Widebody,3344.265,3346.30396926455
2064,ssp585,Narrowbody,2939.92,2939.4881978961
2064,ssp585,Widebody,3347.01,3346.88458902921
2065,ssp126,Narrowbody,2932.945,2933.4509105235
2065,ssp126,Widebody,3341.53,3342.5765836889
2065,ssp245,Narrowbody,2937.305,2935.62064310204
2065,ssp245,Widebody,3344.205,3344.05809885912
2065,ssp370,Narrowbody,2939.92,2938.72110458989
2065,ssp370,Widebody,3347.14,3346.45319155477
2065,ssp585,Narrowbody,2941.67,2939.70907518649
2065,ssp585,Widebody,3347.49,3347.03865249588
2066,ssp126,Narrowbody,2936.16,2933.39832373581
2066,ssp126,Widebody,3344.415,3342.52589859128
2066,ssp245,Narrowbody,2937.805,2935.72535226929
2066,ssp245,Widebody,3345.6,3344.12178240752
2066,ssp370,Narrowbody,2939.01,2938.92630032034
2066,ssp370,Widebody,3347.72,3346.60085066663
2066,ssp585,Narrowbody,2939.52,2939.93472942249
2066,ssp585,Widebody,3347.035,3347.19790815189
2067,ssp126,Narrowbody,2933.725,2933.35715283945
2067,ssp126,Widebody,3341.735,3342.48593158633
2067,ssp245,Narrowbody,2934.855,2935.82680839324
2067,ssp245,Widebody,3343.03,3344.1852196308
2067,ssp370,Narrowbody,2940.635,2939.12698584635
2067,ssp370,Widebody,3346.655,3346.7462810303
2067,ssp585,Narrowbody,2941.115,2940.16643786004
2067,ssp585,Widebody,3348.115,3347.36364160308
2068,ssp126,Narrowbody,2933.805,2933.33114241705
2068,ssp126,Widebody,3343.59,3342.45999540349
2068,ssp245,Narrowbody,2935.255,2935.92449037348
2068,ssp245,Widebody,3344.295,3344.24855244412
2068,ssp370,Narrowbody,2941.185,2939.32190939267
2068,ssp370,Widebody,3348.35,3346.88881707597
2068,ssp585,Narrowbody,2940.805,2940.40547775504
2068,ssp585,Widebody,3347.585,3347.53713845527
2069,ssp126,Narrowbody,2935.12,2933.31516301121
2069,ssp126,Widebody,3342.885,3342.44369272334
2069,ssp245,Narrowbody,2934.72,2936.02032369498
2069,ssp245,Widebody,3344.18,3344.31187214315
2069,ssp370,Narrowbody,2937.78,2939.51259103681
2069,ssp370,Widebody,3346.18,3347.03062421089
2069,ssp585,Narrowbody,2939.285,2940.64548149793
2069,ssp585,Widebody,3346.595,3347.71459159465
2070,ssp126,Narrowbody,2934.72,2933.30139153567
2070,ssp126,Widebody,3342.625,3342.43019277524
2070,ssp245,Narrowbody,2934.475,2936.11625117705
2070,ssp245,Widebody,3344.095,3344.37508606923
2070,ssp370,Narrowbody,2938.765,2939.70166508422
2070,ssp370,Widebody,3346.87,3347.17399059051
2070,ssp585,Narrowbody,2944.845,2940.88093166927
2070,ssp585,Widebody,3349.65,3347.89203283594
2071,ssp126,Narrowbody,2932.325,2933.28953212986
2071,ssp126,Widebody,3342.35,3342.41915811188
2071,ssp245,Narrowbody,2936.635,2936.21177772073
2071,ssp245,Widebody,3344.29,3344.43806020608
2071,ssp370,Narrowbody,2942.04,2939.88955110156
2071,ssp370,Widebody,3348.94,3347.3184347673
2071,ssp585,Narrowbody,2939.655,2941.1143808102
2071,ssp585,Widebody,3347.095,3348.07050617781
2072,ssp126,Narrowbody,2931.97,2933.27928893319
2072,ssp126,Widebody,3342.015,3342.41025128592
2072,ssp245,Narrowbody,2937.115,2936.30640822709
2072,ssp245,Widebody,3345.21,3344.50066053743
2072,ssp370,Narrowbody,2941.23,2940.0766686555
2072,ssp370,Widebody,3347.91,3347.46347529374
2072,ssp585,Narrowbody,2940.215,2941.34838146187
2072,ssp585,Widebody,3347.36,3348.25105561888
2073,ssp126,Narrowbody,2934.275,2933.27036608507
2073,ssp126,Widebody,3342.8,3342.40313485004
2073,ssp245,Narrowbody,2935.265,2936.39964759716
2073,ssp245,Widebody,3342.38,3344.56275304701
2073,ssp370,Narrowbody,2942.29,2940.26343731272
2073,ssp370,Widebody,3348.845,3347.60863072229
2073,ssp585,Narrowbody,2943.655,2941.58548616544
2073,ssp585,Widebody,3349.43,3348.43472515782
2074,ssp126,Narrowbody,2932.825,2933.26246772492
2074,ssp126,Widebody,3342.33,3342.39747135691
2074,ssp245,Narrowbody,2935.89,2936.49100073202
2074,ssp245,Widebody,3343.65,3344.62420371852
2074,ssp370,Narrowbody,2940.555,2940.45027663987
2074,ssp370,Widebody,3347.25,3347.75341960543
2074,ssp585,Narrowbody,2939.715,2941.82824746205
2074,ssp585,Widebody,3347.785,3348.62255879325
2075,ssp126,Narrowbody,2929.965,2933.25529799214
2075,ssp126,Widebody,3340.495,3342.3929233592
2075,ssp245,Narrowbody,2935.995,2936.57997253271
2075,ssp245,Widebody,3344.465,3344.6848785357
2075,ssp370,Narrowbody,2940.07,2940.63760620364
2075,ssp370,Widebody,3347.5,3347.89736049562
2075,ssp585,Narrowbody,2943.415,2942.07921789286
2075,ssp585,Widebody,3350.345,3348.81560052383
2076,ssp126,Narrowbody,2933.345,2933.24856102615
2076,ssp126,Widebody,3342.83,3342.38915340959
