year,exp,zone,type,avg_thr,avg_pax,avg_thr_loess,avg_pax_loess,avg_thr_per,avg_pax_per
2032,ssp585,Global,Narrowbody,0.865221259240568,8.42973704275945,0.865334707210307,8.42686253225833,0.000322298728990813,0.0110027874249513
2033,ssp585,Global,Narrowbody,0.865330410221004,8.4026131806438,0.865352417646357,8.43123470403409,0.000342771898451395,0.0115273335220865
2034,ssp585,Global,Narrowbody,0.865599309646074,8.48217357841219,0.865370327156258,8.43548814349109,0.000363475196220319,0.0120376348508085
2035,ssp585,Global,Narrowbody,0.86560756019474,8.43167864488041,0.865388449731068,8.43962200176089,0.000384424795886507,0.0125335895691379
2036,ssp585,Global,Narrowbody,0.865365522818538,8.47530911552974,0.865406799361848,8.44363542997505,0.000405636871039779,0.0130150958350961
2037,ssp585,Global,Narrowbody,0.865260976132226,8.40084935728085,0.86542541116393,8.44756218935321,0.000427152014818486,0.0134862041107639
2038,ssp585,Global,Narrowbody,0.865410193942871,8.3828079439838,0.865444298719358,8.4514276841023,0.000448985927991832,0.0139499622355872
2039,ssp585,Global,Narrowbody,0.865590997062048,8.5451883902922,0.865463443719255,8.45521852983485,0.000471117445595978,0.014404764433634
2040,ssp585,Global,Narrowbody,0.865632265512787,8.55316264722765,0.865482827854743,8.4589213421634,0.00049352540266657,0.0148490049289723
2041,ssp585,Global,Narrowbody,0.865809303718829,8.5818422576559,0.865502432816946,8.46252273670049,0.000516188634239257,0.0152810779456705
2042,ssp585,Global,Narrowbody,0.865900355699754,8.55526171579992,0.865522240296987,8.46600932905865,0.000539085975350071,0.0156993777077967
2043,ssp585,Global,Narrowbody,0.865374691547398,8.39910551437478,0.865542231985987,8.46936773485041,0.000562196261034531,0.0161022984394187
2044,ssp585,Global,Narrowbody,0.86546002059383,8.41422461349689,0.86556238957507,8.47258456968831,0.000585498326328285,0.0164882343646047
2045,ssp585,Global,Narrowbody,0.864999838812365,8.25351051274545,0.865582694755359,8.47564644918489,0.000608971006267622,0.0168555797074231
2046,ssp585,Global,Narrowbody,0.865116025407369,8.41479936292374,0.865603129217976,8.47853998895267,0.000632593135887677,0.0172027286919419
2047,ssp585,Global,Narrowbody,0.865478780040406,8.43036932852147,0.865623674654045,8.48125180460419,0.000656343550224739,0.017528075542229
2048,ssp585,Global,Narrowbody,0.865856613748701,8.50607602427058,0.865643898962352,8.48345070183912,0.000679722742585305,0.0177918856168876
2049,ssp585,Global,Narrowbody,0.866026745793093,8.53799852810945,0.865663522224434,8.48493039510871,0.000702407128720419,0.0179694100531008
