year,exp,type,zone,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2080,ssp585,Narrowbody,Temperate,539571,526254,183506,1249331,246877,1496208,0.360625661672709,0.351725161207533,0.122647385924952,0.834998208805193,0.165001791194807,1,0.36375904536193,0.164368364312272
2080,ssp585,Widebody,Temperate,23101,573772,473139,1070012,426196,1496208,0.0154396982237764,0.383484114508143,0.316225417856341,0.71514923058826,0.28485076941174,1,0.0165935513602989,0.282924618398314
2081,ssp126,Narrowbody,Temperate,552481,515019,185394,1252894,239226,1492120,0.37026579631665,0.345159236522532,0.124248719942096,0.839673752781278,0.160326247218722,1,0.370603172317819,0.160454165043762
2081,ssp126,Widebody,Temperate,27051,571655,481008,1079714,412406,1492120,0.0181292389352063,0.383115969224995,0.322365493391952,0.723610701552154,0.276389298447846,1,0.0182754717269599,0.276523743239605
2081,ssp245,Narrowbody,Temperate,548590,517529,184644,1250763,241357,1492120,0.367658097203978,0.346841406857357,0.123746079403801,0.838245583465137,0.161754416534863,1,0.368126071334078,0.161871533068255
2081,ssp245,Widebody,Temperate,26011,570551,479380,1075942,416178,1492120,0.0174322440554379,0.382376082352626,0.321274428330161,0.721082754738225,0.278917245261775,1,0.0175844595030856,0.278878695872681
2081,ssp370,Narrowbody,Temperate,543948,519948,183490,1247386,244734,1492120,0.364547087365627,0.348462590140203,0.122972683162212,0.835982360668043,0.164017639331957,1,0.364694521623704,0.163622177406621
2081,ssp370,Widebody,Temperate,25298,571531,473928,1070757,421363,1492120,0.0169544004503659,0.383032865989331,0.317620566710452,0.717607833150149,0.282392166849851,1,0.0164104331032397,0.281777539826269
2081,ssp585,Narrowbody,Temperate,540806,520752,184062,1245620,246500,1492120,0.362441358603866,0.349001420797255,0.123356030346085,0.834798809747205,0.165201190252795,1,0.363502590199494,0.164496486318612
2081,ssp585,Widebody,Temperate,24288,569947,473648,1067883,424237,1492120,0.0162775111921293,0.381971289172453,0.317432914242822,0.715681714607404,0.284318285392596,1,0.0165217665029776,0.283144481254209
2082,ssp126,Narrowbody,Temperate,551277,515477,185585,1252339,239781,1492120,0.369458890705841,0.345466182344584,0.124376725732515,0.83930179878294,0.16069820121706,1,0.370612152594002,0.160456669235687
2082,ssp126,Widebody,Temperate,26912,571531,479587,1078030,414090,1492120,0.0180360828887757,0.383032865989331,0.32141315711873,0.722482105996837,0.277517894003163,1,0.0182823404087965,0.276524123568642
2082,ssp245,Narrowbody,Temperate,550903,515180,184767,1250850,241270,1492120,0.369208240624078,0.345267136691419,0.123828512452082,0.838303889767579,0.161696110232421,1,0.368078251036505,0.161892283785635
2082,ssp245,Widebody,Temperate,26780,570669,480308,1077757,414363,1492120,0.0179476181540359,0.382455164463984,0.321896362222878,0.722299144840898,0.277700855159103,1,0.0175756496267086,0.278921891745318
2082,ssp370,Narrowbody,Temperate,544474,519935,185054,1249463,242657,1492120,0.364899605929818,0.348453877704206,0.124020856231402,0.837374339865426,0.162625660134574,1,0.364564022798069,0.163682027806931
2082,ssp370,Widebody,Temperate,23310,572475,478380,1074165,417955,1492120,0.0156220679301933,0.383665522880197,0.320604240945768,0.719891831756159,0.280108168243841,1,0.0163765771503289,0.281885040882667
2082,ssp585,Narrowbody,Temperate,542328,520529,184367,1247224,244896,1492120,0.363461383802911,0.348851969010535,0.123560437498325,0.835873790311771,0.164126209688229,1,0.363239560432113,0.164627168647841
2082,ssp585,Widebody,Temperate,24759,571044,474572,1070375,421745,1492120,0.0165931694501783,0.382706484733131,0.318052167386001,0.717351821569311,0.282648178430689,1,0.016447623088861,0.283368999339866
2083,ssp126,Narrowbody,Temperate,558017,508491,187103,1253611,238509,1492120,0.373975953676648,0.340784253277216,0.125394070182023,0.840154277135887,0.159845722864113,1,0.370623140751903,0.160459609799579
2083,ssp126,Widebody,Temperate,31165,567113,482667,1080945,411175,1492120,0.0208863898345978,0.380071978125084,0.32347733426266,0.724435702222341,0.275564297777659,1,0.0182901758984837,0.27652405625978
2083,ssp245,Narrowbody,Temperate,553624,511966,185840,1251430,240690,1492120,0.371031820497011,0.343113154437981,0.124547623515535,0.838692598450527,0.161307401549473,1,0.36803306203188,0.16191179062309
2083,ssp245,Widebody,Temperate,28969,569087,479981,1078037,414083,1492120,0.0194146583384714,0.381394928021875,0.321677210948181,0.722486797308528,0.277513202691473,1,0.0175680319731652,0.278962664049491
2083,ssp370,Narrowbody,Temperate,544916,519407,184988,1249311,242809,1492120,0.36519582875372,0.348100018765247,0.123976623864032,0.837272471382999,0.162727528617001,1,0.364435220338916,0.163741323555685
2083,ssp370,Widebody,Temperate,24390,571901,476957,1073248,418872,1492120,0.0163458703053374,0.383280835321556,0.319650564297778,0.719277269924671,0.280722730075329,1,0.0163442490815268,0.28199110686075
