year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max, tko_ok , tko_ko , tko ,itr_avg,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loess,tko_ko_rel_loess,rel_total,rel_success
2026,ssp370,Temperate,Widebody,62124836,76274,652905,324506," 1,053,685 "," 438,435 "," 1,492,120 ",41.63527966,0.051117873,0.437568694,0.217479827,0.706166394,0.293833606,1,0.04953977,0.293577114,0.051117873,0.072387858
2026,ssp585,Temperate,Narrowbody,30180696,509511,428099,341486," 1,279,096 "," 213,024 "," 1,492,120 ",20.22672019,0.341467844,0.286906549,0.228859609,0.857234003,0.142765997,1,0.34117372,0.142383285,0.341467844,0.398336794
2026,ssp585,Temperate,Widebody,61977803,73840,654436,326609," 1,054,885 "," 437,235 "," 1,492,120 ",41.53673819,0.049486636,0.438594751,0.218889231,0.706970619,0.293029381,1,0.049327419,0.293460023,0.049486636,0.069998151
2027,ssp126,Temperate,Narrowbody,30420297,505708,430965,341875," 1,278,548 "," 213,572 "," 1,492,120 ",20.38729959,0.338919122,0.288827306,0.229120312,0.85686674,0.14313326,1,0.341263694,0.14228382,0.338919122,0.395533058
2027,ssp126,Temperate,Widebody,62655207,70001,656634,323670," 1,050,305 "," 441,815 "," 1,492,120 ",41.99073346,0.046913787,0.440067823,0.216919551,0.703901161,0.296098839,1,0.049803519,0.293477165,0.046913787,0.066648259
2027,ssp245,Temperate,Narrowbody,30121778,511153,425448,343476," 1,280,077 "," 212,043 "," 1,492,120 ",20.18723471,0.342568292,0.285129882,0.230193282,0.857891456,0.142108544,1,0.341358522,0.142218758,0.342568292,0.39931426
2027,ssp245,Temperate,Widebody,61932155,78563,649725,327205," 1,055,493 "," 436,627 "," 1,492,120 ",41.50615309,0.052651931,0.435437498,0.219288663,0.707378093,0.292621907,1,0.049669347,0.293272681,0.052651931,0.074432516
2027,ssp370,Temperate,Narrowbody,30121232,510806,426474,342578," 1,279,858 "," 212,262 "," 1,492,120 ",20.18686923,0.342335737,0.285817495,0.229591454,0.857744685,0.142255315,1,0.341088149,0.142384164,0.342335737,0.399111464
2027,ssp370,Temperate,Widebody,61888664,76054,651770,328024," 1,055,848 "," 436,272 "," 1,492,120 ",41.47700458,0.050970431,0.436808032,0.219837547,0.707616009,0.292383991,1,0.049485087,0.293626602,0.050970431,0.072031201
2027,ssp585,Temperate,Narrowbody,30150263,510387,427130,342257," 1,279,774 "," 212,346 "," 1,492,120 ",20.20632667,0.342054929,0.286257137,0.229376324,0.85768839,0.14231161,1,0.341130827,0.142413981,0.342054929,0.398810259
2027,ssp585,Temperate,Widebody,61987224,75598,652412,326861," 1,054,871 "," 437,249 "," 1,492,120 ",41.54305648,0.050664826,0.437238292,0.219058119,0.706961236,0.293038764,1,0.049280221,0.293525955,0.050664826,0.071665635
2028,ssp126,Temperate,Narrowbody,30348358,509058,430405,343209," 1,282,672 "," 213,536 "," 1,496,208 ",20.28351499,0.340232107,0.287663881,0.229385888,0.857281875,0.142718125,1,0.341243393,0.142311495,0.340232107,0.39687309
2028,ssp126,Temperate,Widebody,62501229,72640,657396,325391," 1,055,427 "," 440,781 "," 1,496,208 ",41.77309148,0.0485494,0.439374739,0.217477115,0.705401254,0.294598746,1,0.049790299,0.293517095,0.0485494,0.068825224
2028,ssp245,Temperate,Narrowbody,30225701,511513,428206,343998," 1,283,717 "," 212,491 "," 1,496,208 ",20.20153721,0.341872921,0.286194166,0.229913221,0.857980308,0.142019692,1,0.34134657,0.142225931,0.341872921,0.398462434
2028,ssp245,Temperate,Widebody,62202776,76431,653514,327521," 1,057,466 "," 438,742 "," 1,496,208 ",41.57361755,0.051083138,0.43678018,0.218900714,0.706764033,0.293235967,1,0.049657167,0.293293048,0.051083138,0.072277501
2028,ssp370,Temperate,Narrowbody,30236521,511609,428603,343361," 1,283,573 "," 212,635 "," 1,496,208 ",20.20876831,0.341937084,0.286459503,0.229487478,0.857884064,0.142115936,1,0.341051385,0.142399425,0.341937084,0.398581927
2028,ssp370,Temperate,Widebody,62146778,75800,654378,328250," 1,058,428 "," 437,780 "," 1,496,208 ",41.53618547,0.050661405,0.43735764,0.219387946,0.707406992,0.292593008,1,0.049429913,0.293680651,0.050661405,0.071615641
