year,exp,zone,type,avg_todr,avg_thr,avg_pax,avg_todr_loess,avg_thr_loess,avg_pax_loess,avg_todr_per,avg_thr_per,avg_pax_per
2085,ssp245,Subtropical,Narrowbody,2879.80083333333,0.865961322453125,9.67721943965517,2875.28094140735,0.866329129916824,9.89093080537776,0.00208310287154736,0.00110616069160337,0.0184302227460962
2086,ssp245,Subtropical,Narrowbody,2872.8714507772,0.866414562076684,10.0307172594247,2875.35284744587,0.866339684622967,9.89365746622313,0.00210816331874239,0.00111835742028191,0.0187109762835283
2087,ssp245,Subtropical,Narrowbody,2879.1390625,0.866119483510417,9.67024804316332,2875.42403604079,0.866350837553185,9.89658574738305,0.00213297372493863,0.00113124544027982,0.0190124898713435
2088,ssp245,Subtropical,Narrowbody,2873.42,0.866388949699482,10.0321438304449,2875.49448970038,0.866362652122989,9.8997353332782,0.00215752799398008,0.0011448980328206,0.019336790336878
2089,ssp245,Subtropical,Narrowbody,2872.22139175258,0.867157889141185,10.1806371715251,2875.5641909329,0.866375191747889,9.90312590832925,0.00218182002971012,0.00115938847912646,0.0196859045074673
2090,ssp245,Subtropical,Narrowbody,2874.57512953368,0.866768771087564,9.960688831636,2875.63312224664,0.866388519843396,9.90677715695688,0.00220584373597276,0.00117479006042115,0.0200618592104477
2091,ssp245,Subtropical,Narrowbody,2874.18808290156,0.866474438249741,10.0261913473885,2875.70112838066,0.866402639471004,9.91070157858655,0.00222954500175398,0.00119110631448277,0.0204659414624724
2092,ssp245,Subtropical,Narrowbody,2878.21177083334,0.865477653846875,9.55334322090517,2875.76809246978,0.866417490692151,9.91489072823186,0.00225288309760358,0.00120826797795536,0.0208972817165227
2093,ssp245,Subtropical,Narrowbody,2879.06072916667,0.865774038880208,9.56662006902538,2875.83405461593,0.866433042422267,9.91933287369563,0.00227587199970942,0.00122623913036209,0.021354671954425
2094,ssp245,Subtropical,Narrowbody,2877.11473958333,0.86584924315625,9.69006217762213,2875.89905492105,0.866449263576779,9.92401628278073,0.0022985256842608,0.00124498385122534,0.0218369041580062
2095,ssp245,Subtropical,Narrowbody,2873.2812886598,0.86717067943299,10.3162268032942,2875.96313348707,0.866466123071117,9.92892922328999,0.00232085812744526,0.00126446622006762,0.0223427703090928
2096,ssp245,Subtropical,Narrowbody,2876.36440414508,0.866713161481347,9.93206231364421,2876.02633041592,0.86648358982071,9.93405996302625,0.0023428833054524,0.00128465031641211,0.0228710623895121
2097,ssp245,Subtropical,Narrowbody,2876.2407253886,0.866797156841969,9.97671805068192,2876.08868580953,0.866501632740985,9.93939676979236,0.00236461519446978,0.00130550021978079,0.0234205723810898
2098,ssp245,Subtropical,Narrowbody,2877.24026041667,0.865419896477604,9.60149556339799,2876.15023976984,0.866520220747371,9.94492791139115,0.00238606777068605,0.00132698000969659,0.0239900922656531
2099,ssp245,Subtropical,Narrowbody,2877.92886010363,0.866778684729534,10.0465882994461,2876.21103239877,0.866539322755298,9.95064165562549,0.00240725501029003,0.00134905376568239,0.0245784140250289
2100,ssp245,Subtropical,Narrowbody,2872.68309278351,0.867340415390722,10.3117137801872,2876.27110379827,0.866558907680193,9.95652627029819,0.00242819088947006,0.00137168556726033,0.0251843296410429
2015,ssp245,Subtropical,Widebody,3271.40648484848,0.902555826539394,14.1633684965517,3262.04025603619,0.904107243016109,15.3582918464539,0,0,0
2016,ssp245,Subtropical,Widebody,3263.42191616767,0.903774984131736,15.4579442165325,3262.14886392322,0.904158638876205,15.3748550168824,3.32944655799002e-05,5.68470836760256e-05,0.00107845134042497
2017,ssp245,Subtropical,Widebody,3257.81380952381,0.905041663928571,15.8210184299398,3262.25407999876,0.904209210214627,15.3912278127387,6.55491489322892e-05,0.000112782194043973,0.00214450712449088
2018,ssp245,Subtropical,Widebody,3252.05153846154,0.906026558485799,16.8406087349521,3262.3554578545,0.904258957714643,15.4073989883631,9.66272006375401e-05,0.000167806086839901,0.00319743513146968
2019,ssp245,Subtropical,Widebody,3270.92642424242,0.904156472787878,14.9900136884013,3262.45255108212,0.904307882059519,15.4233572980962,0.000126391771276026,0.000221919517800848,0.00423650314063346
2020,ssp245,Subtropical,Widebody,3263.27126506024,0.903533593433735,14.9852383394959,3262.54491327332,0.904355983932522,15.4390914962782,0.00015470601142812,0.000275123242662995,0.00526097893125451
2021,ssp245,Subtropical,Widebody,3250.42,0.905274310892857,15.8643941436782,3262.63209801977,0.90440326401692,15.4545903372495,0.000181433071674056,0.000327418017162891,0.00627013028260456
2022,ssp245,Subtropical,Widebody,3262.70325301205,0.904463571024097,15.6791574989614,3262.71365891315,0.904449722995978,15.4698425753504,0.000206436102594764,0.000378804597036961,0.00726322497395581
2023,ssp245,Subtropical,Widebody,3262.96054216867,0.904615867228916,15.0755425569866,3262.78914954516,0.904495361552963,15.4848369649214,0.000229578254769921,0.000429283738021509,0.0082395307845801
2024,ssp245,Subtropical,Widebody,3263.83035928144,0.904078881137725,15.6937627513249,3262.85812350747,0.904540180371143,15.4995622603027,0.000250722678780457,0.000478856195853084,0.00919831549374961
2025,ssp245,Subtropical,Widebody,3256.65476190476,0.90555649137619,15.8944336282841,3262.92013439178,0.904584180133784,15.5140072158348,0.000269732525206605,0.000527522726268479,0.0101388468807365
2026,ssp245,Subtropical,Widebody,3262.2086746988,0.904090314459037,14.7377636604348,3262.97380714655,0.904627437746176,15.5281877465762,0.000286186262916635,0.000575368391399622,0.0110621611974033
2027,ssp245,Subtropical,Widebody,3265.85198795181,0.904196529156626,15.5399523856114,3263.01884600901,0.904670008118806,15.5421323028796,0.000299993223875906,0.000622453925730567,0.0119701108862634
2028,ssp245,Subtropical,Widebody,3271.02781818182,0.903678394806667,14.9557936827586,3263.05642350396,0.904711858942735,15.5558484420267,0.0003115128533098,0.000668743593524828,0.012863188012565
2029,ssp245,Subtropical,Widebody,3257.10297619048,0.905225469107143,16.2450046867816,3263.08771215619,0.904752957909026,15.5693437212993,0.0003211045964437,0.000714201659045674,0.0137418846415561
2030,ssp245,Subtropical,Widebody,3272.85753012048,0.904625532048193,15.5437083531367,3263.11388449049,0.90479327270874,15.5826256979789,0.00032912789850271,0.000758792386556987,0.0146066928384844
2031,ssp245,Subtropical,Widebody,3264.95644578313,0.90490613792771,15.8556934085999,3263.13611303166,0.90483277103294,15.5957019293473,0.00033594220471263,0.000802480040322282,0.0154581046685986
2032,ssp245,Subtropical,Widebody,3265.63120481928,0.904336199518072,15.5169113018973,3263.1555703045,0.904871420572687,15.6085799726862,0.000341906960298983,0.000845228884605072,0.0162966121971466
2033,ssp245,Subtropical,Widebody,3258.07321428571,0.906603781754762,15.7825024144089,3263.1734288338,0.904909189019042,15.6212673852772,0.000347381610486733,0.000887003183668748,0.0171227074893762
2034,ssp245,Subtropical,Widebody,3272.07698795181,0.905016218895181,15.6976849437059,3263.19086114436,0.904946044063068,15.6337717244021,0.000352725600501541,0.000927767201777315,0.0179368826105358
2035,ssp245,Subtropical,Widebody,3264.84873493976,0.904634630180723,15.6618913916355,3263.20903976097,0.904981953395827,15.6461005473425,0.00035829837556879,0.00096748520319392,0.0187396296258732
2036,ssp245,Subtropical,Widebody,3250.38711764706,0.906557475529412,16.3330206039892,3263.22913720842,0.905016884708381,15.6582614113802,0.000364459380913863,0.0010061214521822,0.0195314406006368
2037,ssp245,Subtropical,Widebody,3265.44668674699,0.904657806313253,15.1991397939344,3263.22962943676,0.90505184623448,15.6705137782187,0.000364610276763657,0.00104479111927056,0.0203292094515606
2038,ssp245,Subtropical,Widebody,3265.55012048193,0.904706151506024,15.5629272246226,3263.19347621374,0.905087619252684,15.683047623587,0.000353527267303734,0.00108435834813627,0.0211453057657602
2039,ssp245,Subtropical,Widebody,3257.85413173653,0.905263365988024,15.7390622258242,3263.12857579076,0.905123831021262,15.6957662758047,0.000333631613697401,0.00112441086276682,0.0219734351140568
2040,ssp245,Subtropical,Widebody,3264.91547619048,0.905108788928572,16.2120598769841,3263.04282641919,0.905160108798486,15.7085730631916,0.000307344577107966,0.00116453638714895,0.0228073030672705
2041,ssp245,Subtropical,Widebody,3273.83024096386,0.904108788925904,15.4316217414486,3262.94412635043,0.905196079842626,15.7213713140672,0.000277087418698874,0.00120432264527002,0.0236406151962222
2042,ssp245,Subtropical,Widebody,3263.6374251497,0.904701917664671,15.7007016936472,3262.84037383585,0.905231371411952,15.7340643567513,0.000245281399633714,0.0012433573611174,0.0244670770717325
