zone,exp,year,avg_min_rho,loess_avg_min_rho
Frigid,ssp585,2047,-0.00245999999999991,0.00455540941683143
Frigid,ssp585,2048,0.00576500000000002,0.00430462443381723
Frigid,ssp585,2049,-0.00529000000000002,0.00402131169527998
Frigid,ssp585,2050,0.000114999999999865,0.00371142648725499
Frigid,ssp585,2051,0.0015750000000001,0.00338092409577757
Frigid,ssp585,2052,0.00494000000000017,0.00303575980688304
Frigid,ssp585,2053,0.00175999999999998,0.00268188890660672
Frigid,ssp585,2054,0.006915,0.0023252666809839
Frigid,ssp585,2055,0.0105950000000001,0.00197184841604991
Frigid,ssp585,2056,-0.00388500000000014,0.00162758939784006
Frigid,ssp585,2057,-0.00501499999999999,0.00129844491238966
Frigid,ssp585,2058,-0.000600000000000156,0.000963541340390666
Frigid,ssp585,2059,0.01637,0.000602491090304209
Frigid,ssp585,2060,0.00354500000000013,0.00022197848981938
Frigid,ssp585,2061,0.00404000000000004,-0.000171312133374732
Frigid,ssp585,2062,-0.00322500000000003,-0.000570696451589038
Frigid,ssp585,2063,0.000825000000000076,-0.00096949013713445
Frigid,ssp585,2064,-0.00649000000000011,-0.00136100886232188
Frigid,ssp585,2065,-0.00160500000000008,-0.00173856829946223
Frigid,ssp585,2066,0.00228499999999987,-0.00209548412086642
Frigid,ssp585,2067,-0.000145000000000062,-0.00242507199884537
Frigid,ssp585,2068,-0.01285,-0.00272064760570997
Frigid,ssp585,2069,-0.00560000000000005,-0.00298216229805902
Frigid,ssp585,2070,-0.00393500000000002,-0.00321800477507664
Frigid,ssp585,2071,-0.0109000000000001,-0.0034341467229517
Frigid,ssp585,2072,-0.00564500000000012,-0.00363655982787311
Frigid,ssp585,2073,-0.00934499999999994,-0.00383121577602975
Frigid,ssp585,2074,-9.9999999999989e-05,-0.0040240862536105
Frigid,ssp585,2075,-0.00685000000000002,-0.00422114294680426
Frigid,ssp585,2076,0.00566,-0.00442835754179993
Frigid,ssp585,2077,-0.00528000000000017,-0.00465170172478637
Frigid,ssp585,2078,-0.0141099999999998,-0.0048971471819525
Frigid,ssp585,2079,-0.00575999999999999,-0.00517066559948718
Frigid,ssp585,2080,0.00650000000000017,-0.00546035490746723
Frigid,ssp585,2081,-0.00280999999999998,-0.0057509045818263
Frigid,ssp585,2082,-0.00987500000000008,-0.00604317362753856
Frigid,ssp585,2083,-0.0167599999999999,-0.00633802104957816
