year,exp,type,zone,vlof_avg,vlof_avg_loess
2062,ssp585,Widebody,Temperate,89.8427,89.8686543635609
2063,ssp126,Narrowbody,Temperate,83.17625,83.1991064719561
2063,ssp126,Widebody,Temperate,89.703,89.7183700352373
2063,ssp245,Narrowbody,Temperate,83.2466,83.2523096109952
2063,ssp245,Widebody,Temperate,89.76285,89.7705712169137
2063,ssp370,Narrowbody,Temperate,83.283,83.3249405738241
2063,ssp370,Widebody,Temperate,89.80745,89.8416922913401
2063,ssp585,Narrowbody,Temperate,83.34625,83.358336638048
2063,ssp585,Widebody,Temperate,89.859,89.8753315861885
2064,ssp126,Narrowbody,Temperate,83.1863,83.1988885763711
2064,ssp126,Widebody,Temperate,89.702,89.7182946979283
2064,ssp245,Narrowbody,Temperate,83.2449,83.2563821727151
2064,ssp245,Widebody,Temperate,89.7574,89.7745503128386
2064,ssp370,Narrowbody,Temperate,83.30465,83.3295441704932
2064,ssp370,Widebody,Temperate,89.8255,89.846072796412
2064,ssp585,Narrowbody,Temperate,83.36865,83.3650578400751
2064,ssp585,Widebody,Temperate,89.8832,89.8820552067211
2065,ssp126,Narrowbody,Temperate,83.21355,83.1986882845625
2065,ssp126,Widebody,Temperate,89.73215,89.718221409914
2065,ssp245,Narrowbody,Temperate,83.25855,83.2603499465532
2065,ssp245,Widebody,Temperate,89.7689,89.7784275979298
2065,ssp370,Narrowbody,Temperate,83.341,83.334165718138
2065,ssp370,Widebody,Temperate,89.8537,89.8504849351817
2065,ssp585,Narrowbody,Temperate,83.3776,83.3718407992375
2065,ssp585,Widebody,Temperate,89.89095,89.8888349191238
2066,ssp126,Narrowbody,Temperate,83.2504,83.1985443110756
2066,ssp126,Widebody,Temperate,89.7642,89.7181812169151
2066,ssp245,Narrowbody,Temperate,83.34515,83.2641536722971
2066,ssp245,Widebody,Temperate,89.86935,89.7821449722136
2066,ssp370,Narrowbody,Temperate,83.3213,83.3388321240725
2066,ssp370,Widebody,Temperate,89.83705,89.8549648222933
2066,ssp585,Narrowbody,Temperate,83.32405,83.3786989407029
2066,ssp585,Widebody,Temperate,89.8435,89.8956804173619
2067,ssp126,Narrowbody,Temperate,83.24485,83.1984953704553
2067,ssp126,Widebody,Temperate,89.76605,89.7182051646523
2067,ssp245,Narrowbody,Temperate,83.29365,83.2677340897346
2067,ssp245,Widebody,Temperate,89.81415,89.7856443357165
2067,ssp370,Narrowbody,Temperate,83.3645,83.3435702956107
2067,ssp370,Widebody,Temperate,89.8716,89.8595485723908
2067,ssp585,Narrowbody,Temperate,83.37435,83.385645689639
2067,ssp585,Widebody,Temperate,89.88765,89.9026013954008
2068,ssp126,Narrowbody,Temperate,83.1944,83.198580177247
2068,ssp126,Widebody,Temperate,89.7101,89.7183242988462
2068,ssp245,Narrowbody,Temperate,83.2475,83.2710319386533
2068,ssp245,Widebody,Temperate,89.7687,89.7888675884648
2068,ssp370,Narrowbody,Temperate,83.3923,83.3484071400663
2068,ssp370,Widebody,Temperate,89.9083,89.8642723001183
2068,ssp585,Narrowbody,Temperate,83.37305,83.3926944712136
2068,ssp585,Widebody,Temperate,89.8865,89.9096075472057
2069,ssp126,Narrowbody,Temperate,83.2204,83.1987190366385
