year,ssp,zone,avg_tas,avg_hurs,avg_ps,avg_rho,avg_hdw,max_tas,min_rho,avg_tas_loess,avg_hurs_loess,avg_ps_loess,avg_rho_loess,avg_hdw_loess,max_tas_loess,min_rho_loess
2030,ssp370,Global,17.5079443813848,70.8855335981839,970.676343927356,1.15759429511918,2.7172438430193,54.398,0.676428,17.4498951367716,71.4267822578053,970.463386352403,1.15752178284,2.71935975064319,54.6383785142826,0.67761692976903
2030,ssp585,Global,17.5028002270148,71.8838493757095,970.214922814982,1.15695442905789,2.74358626674234,53.913,0.679911,17.4549819173755,71.3351185353506,970.479619438171,1.15753047488853,2.73267210455756,54.202259443223,0.676716207808004
2031,ssp126,Global,17.1397536889898,71.0970642451759,970.106362088537,1.15852338706016,2.70253311339387,53.834,0.678864,17.4931264526016,71.1759993842482,970.467836761889,1.15737631623822,2.68518013544374,54.4721659001418,0.677180166356209
2031,ssp245,Global,17.3267105561862,71.2975556186151,970.594356413167,1.15818349148695,2.73463495959138,54.144,0.675834,17.478840713243,71.0691746861774,970.469432138978,1.15744650393207,2.72389287735274,54.5528934059016,0.677478761307251
2031,ssp370,Global,17.4517105561862,71.2077144154371,970.720926220205,1.15780200227015,2.70124838388196,52.741,0.676555,17.4748156244656,71.4063671335999,970.475293228983,1.15742859505361,2.71969413247314,54.6950299732092,0.677592236876479
2031,ssp585,Global,17.7144324631101,71.8890567536889,970.577496027241,1.156469,2.74891972985244,53.767,0.678998,17.4836815232744,71.3123762873631,970.487228953428,1.15741486703643,2.73415231388467,54.2248291276791,0.676640171936205
2032,ssp126,Global,17.3684812712826,71.3281919409762,970.036648127128,1.15744772758229,2.69047562202043,54.667,0.68008,17.5068240295915,71.1669454071288,970.47104850916,1.15732163967675,2.68374642230091,54.4786638079075,0.677187269396309
2032,ssp245,Global,17.7206708286039,69.5936128263337,971.306398410896,1.15753942224745,2.70827147003405,54.749,0.681778,17.5003664729104,71.0377481662458,970.474805233323,1.15736167922017,2.72465139566762,54.5913078697344,0.67740425424674
2032,ssp370,Global,17.4654472190692,71.1280578887629,970.590469920545,1.15764898751419,2.7296734030647,55.143,0.680304,17.5004998171342,71.3860327189434,970.486951072254,1.15733176696288,2.71996944901104,54.75139846039,0.677557246694747
2032,ssp585,Global,17.6555845629966,70.7772702610669,970.615062429057,1.15683668444949,2.71649166231555,56.017,0.675323,17.5131685069019,71.2891498150445,970.494678170337,1.15729580562624,2.7355402991245,54.251014934115,0.676565410436313
