"","iata","icao","name","lat","lon","zone"
"279","RGN","VYYY","Yangon International Airport",16.90730095,96.1332016,"Tropical"
"280","PUJ","MDPC","Punta Cana International Airport",18.56739998,-68.36340332,"Tropical"
"281","PMO","LICJ","Falcone–Borsellino Airport",38.175999,13.091,"Temperate"
"282","PBI","KPBI","Palm Beach International Airport",26.68320084,-80.09559631,"Temperate"
"283","SKG","LGTS","Thessaloniki Macedonia International Airport",40.5196991,22.97089958,"Temperate"
"284","MKE","KMKE","General Mitchell International Airport",42.94720078,-87.89659882,"Temperate"
"285","KTM","VNKT","Tribhuvan International Airport",27.6966,85.3591,"Temperate"
"286","KHI","OPKC","Jinnah International Airport",24.9065,67.160797,"Temperate"
"287","TSA","RCSS","Taipei Songshan Airport",25.06940079,121.552002,"Temperate"
"288","BDL","KBDL","Bradley International Airport",41.93889999,-72.68319702,"Temperate"
"289","CXR","VVCR","Cam Ranh International Airport / Cam Ranh Air Base",11.9982,109.219002,"Tropical"
"290","HLP","WIHH","Halim Perdanakusuma International Airport",-6.266610146,106.8909988,"Tropical"
"291","LIN","LIML","Milano Linate Airport",45.445099,9.27674,"Temperate"
"292","OOL","YBCG","Gold Coast Airport",-28.1644001,153.5050049,"Temperate"
"293","LOS","DNMM","Murtala Muhammed International Airport",6.577370167,3.321160078,"Tropical"
"294","PNH","VDPP","Phnom Penh International Airport",11.5466,104.844002,"Tropical"
"295","WLG","NZWN","Wellington International Airport",-41.32720184,174.8049927,"Temperate"
"296","GOT","ESGG","Gothenburg-Landvetter Airport",57.66279984,12.27980042,"Temperate"
"297","RAK","GMMX","Menara Airport",31.60689926,-8.036299706,"Temperate"
"298","BPN","WALL","Sultan Aji Muhamad Sulaiman Airport",-1.268270016,116.8939972,"Tropical"
"299","GAU","VEGT","Lokpriya Gopinath Bordoloi International Airport",26.10610008,91.58589935,"Temperate"
"300","CWB","SBCT","Afonso Pena Airport",-25.5284996,-49.17580032,"Temperate"
"301","HER","LGIR","Heraklion International Nikos Kazantzakis Airport",35.33969879,25.18029976,"Temperate"
"302","TUN","DTTA","Tunis Carthage International Airport",36.85100174,10.22719955,"Temperate"
"303","BFS","EGAA","Belfast International Airport",54.65750122,-6.215829849,"Temperate"
"304","BGO","ENBR","Bergen Airport Flesland",60.29339981,5.218140125,"Temperate"
"305","OVB","UNNT","Tolmachevo Airport",55.01259995,82.65070343,"Temperate"
"306","EIN","EHEH","Eindhoven Airport",51.45009995,5.374529839,"Temperate"
"307","IKA","OIIE","Imam Khomeini International Airport",35.41609955,51.15219879,"Temperate"
"308","HAJ","EDDV","Hannover Airport",52.46110153,9.685079575,"Temperate"
"309","KCH","WBGG","Kuching International Airport",1.484699965,110.3470001,"Tropical"
"310","BUR","KBUR","Bob Hope Airport",34.197703,-118.356378,"Temperate"
"311","CIA","LIRA","Ciampino–G. B. Pastine International Airport",41.7994,12.5949,"Temperate"
"312","TFN","GCXO","Tenerife Norte Airport",28.4827,-16.341499,"Temperate"
"313","BIO","LEBB","Bilbao Airport",43.30110168,-2.910609961,"Temperate"
"314","LKO","VILK","Chaudhary Charan Singh International Airport",26.76059914,80.88929749,"Temperate"
"315","BEG","LYBE","Belgrade Nikola Tesla Airport",44.81840134,20.3090992,"Temperate"
"316","AER","URSS","Sochi International Airport",43.449902,39.9566,"Temperate"
"317","HAV","MUHA","José Martí International Airport",22.98920059,-82.40910339,"Tropical"
"318","KOJ","RJFK","Kagoshima Airport",31.80340004,130.7189941,"Temperate"
"319","ALA","UAAA","Almaty Airport",43.35210037,77.04049683,"Temperate"
